id;dist
TS111;2223,23415426083
TS112;8122,15809888922
TS113;14121,8791078285
TS114;31685,2250320242
TS115;17372,2478367098
TS116;45389,2265465642
TS117;19253,7493193107
TS121;51726,8439391385
TS122;33473,5928048862
TS123;98367,5539861776
TS124;103973,649805521
TS211;13895,8985276207
TS212;11673,560851935
TS213;38652,0719498973
TS214;29974,0962088114
TS221;73135,3254415423
TS222;162139,689149521
TS223;82518,6395164839
TS311;32024,9952017065
TS312;26302,1574502553
TS313;176313,006621334
TS321;119043,558000308
TS322;190878,903425334
TS323;132596,810747283
